headwear ,73.0,Original BUFF® | Sports & Lifestyle accessories,https://www.buff.com/
jewelry,10.0,Jewelry - Shop Jewelry Online | JTV.com,https://www.jtv.com/jewelry/_/N-1079030199
neckwear,29.0,"New Collection BUFF® | Neckwarmers, scarves and neckwear ...",https://www.buff.com/tr/neckwear.html
neckwear,98.0,Category:Neckwear - Wikimedia Commons,https://commons.wikimedia.org/wiki/Category:Neckwear
gown,30.0,The Top 20 Wedding Dress Trends of 2020 - Harper's Bazaar,https://www.harpersbazaar.com/wedding/bridal-fashion/g28763422/wedding-dress-trends-2020/
sleepwear,31.0,Women's Pajamas et Loungewear | la Vie en Rose,https://www.lavieenrose.com/en/sleep-lounge
sleepwear,39.0,Casual and luxurious sleepwear collection | Cosabella,https://www.cosabella.com/collections/sleepwear
sleepwear,81.0,Shop for Sleepwear | HUE,https://hue.com/sleepwear/
sweater,69.0,Women's Plus Size Sweaters | Torrid,https://www.torrid.com/clothing/tops/sweaters/
pajamas,20.0,Women's Pajamas et Loungewear | la Vie en Rose,https://www.lavieenrose.com/en/sleep-lounge
pajamas,48.0,Ontario city trying to attract new residents by giving away ...,https://www.blogto.com/city/2021/02/ontario-city-attract-new-residents-free-pajamas/
pajamas,72.0,Doll & Girl Pajamas | American Girl,https://www.americangirl.com/shop/c/pajamas
pajamas,96.0,Plus Size Pajamas and Loungewear for Women | Torrid,https://www.torrid.com/torrid-curve-intimates/sleep-lounge/
swimwear,24.0,Swimwear | Womens Swimwear | Swimsuits | Boux Avenue UK,https://www.bouxavenue.com/swimwear
swimwear,59.0,Plus Size Swimwear | Swimsuits and Bathing Suits | Torrid,https://www.torrid.com/active-swim/swim/
swimwear,69.0,Swimwear and Beachwear | La Vie en Rose,https://www.lavieenrose.com/en/swimwear
bandanas,89.0,Where To Buy Bandanas Online For A Cool Cloth Face Mask,https://www.refinery29.com/en-us/2020/04/9658891/where-to-buy-bandana
hair combs,84.0,How To Style A Hair Comb - Refinery29,https://www.refinery29.com/en-us/hair-combs-hairstyles
hair bands,56.0,hair band - Urban Dictionary,https://www.urbandictionary.com/define.php?term=hair%20band
